user_id,occurred_at,experiment,experiment_group,location,device,user_type
4,2014-06-05 15:20:16,publisher_update,control_group,India,lenovo thinkpad,3
8198,2014-06-11 09:31:32,publisher_update,control_group,Japan,nokia lumia 635,1
11,2014-06-17 09:31:22,publisher_update,control_group,United States,iphone 4s,1
8209,2014-06-04 09:31:21,publisher_update,test_group,Turkey,nokia lumia 635,1
19,2014-06-04 09:31:33,publisher_update,test_group,Nigeria,iphone 5,1
20,2014-06-18 09:31:29,publisher_update,control_group,Italy,samsung galaxy s4,2
22,2014-06-02 10:57:04,publisher_update,test_group,Germany,lenovo thinkpad,1
8216,2014-06-11 09:31:22,publisher_update,control_group,South Africa,iphone 5,1
30,2014-06-19 09:31:12,publisher_update,test_group,Australia,dell inspiron desktop,2
8232,2014-06-03 00:10:13,publisher_update,control_group,Nigeria,dell inspiron desktop,3
1373,2014-06-03 14:51:36,publisher_update,control_group,Greece,dell inspiron notebook,1
8240,2014-06-07 08:49:51,publisher_update,test_group,United States,nexus 7,3
49,2014-06-02 09:31:29,publisher_update,control_group,United States,hp pavilion desktop,2
8242,2014-06-19 09:31:26,publisher_update,control_group,United States,iphone 4s,3
59,2014-06-02 09:31:45,publisher_update,control_group,Taiwan,macbook air,1
64,2014-06-23 09:31:29,publisher_update,control_group,Turkey,acer aspire notebook,2
8258,2014-06-02 17:22:13,publisher_update,test_group,Switzerland,iphone 4s,1
8259,2014-06-05 09:31:28,publisher_update,test_group,United Kingdom,acer aspire notebook,2
8268,2014-06-19 09:31:23,publisher_update,test_group,United States,samsung galaxy s4,3
78,2014-06-17 09:31:26,publisher_update,test_group,United States,acer aspire notebook,2
8273,2014-06-12 09:31:26,publisher_update,control_group,Brazil,iphone 5,2
83,2014-06-04 09:31:19,publisher_update,control_group,United Kingdom,amazon fire phone,1
8277,2014-06-27 09:31:43,publisher_update,control_group,United Kingdom,macbook pro,2
86,2014-06-04 09:14:27,publisher_update,control_group,India,dell inspiron notebook,1
8279,2014-06-13 09:31:18,publisher_update,test_group,United States,acer aspire notebook,3
98,2014-06-19 09:31:23,publisher_update,control_group,Brazil,dell inspiron notebook,2
101,2014-06-06 16:25:05,publisher_update,control_group,Netherlands,lenovo thinkpad,1
8302,2014-06-27 09:30:58,publisher_update,control_group,United States,ipad mini,3
8305,2014-06-06 09:31:43,publisher_update,control_group,Japan,samsung galaxy s4,1
10942,2014-06-23 09:31:06,publisher_update,control_group,Germany,macbook pro,3
8312,2014-06-27 09:31:33,publisher_update,test_group,Japan,iphone 4s,3
124,2014-06-30 09:31:17,publisher_update,control_group,Germany,macbook air,3
8317,2014-06-27 09:31:19,publisher_update,test_group,France,dell inspiron notebook,1
128,2014-06-01 11:07:10,publisher_update,control_group,Russia,lenovo thinkpad,2
2752,2014-06-04 09:31:05,publisher_update,test_group,Brazil,ipad air,2
8325,2014-06-23 09:31:50,publisher_update,control_group,Japan,dell inspiron notebook,2
134,2014-06-02 09:31:45,publisher_update,control_group,Japan,iphone 5,1
136,2014-06-01 07:32:11,publisher_update,control_group,Spain,lenovo thinkpad,1
12311,2014-06-06 16:10:56,publisher_update,test_group,Malaysia,iphone 5,1
150,2014-06-03 09:31:34,publisher_update,control_group,United States,lenovo thinkpad,1
163,2014-06-04 09:30:49,publisher_update,control_group,Egypt,mac mini,1
172,2014-06-04 19:01:49,publisher_update,test_group,United States,iphone 5,1
175,2014-06-06 14:27:38,publisher_update,test_group,Italy,dell inspiron notebook,2
8373,2014-06-02 09:31:18,publisher_update,test_group,Brazil,lenovo thinkpad,2
182,2014-06-06 10:33:49,publisher_update,test_group,India,ipad mini,1
8378,2014-06-09 09:31:44,publisher_update,test_group,United States,macbook pro,3
8383,2014-06-09 09:31:46,publisher_update,test_group,Brazil,lenovo thinkpad,1
8384,2014-06-02 09:31:25,publisher_update,test_group,United States,dell inspiron notebook,2
201,2014-06-02 09:31:27,publisher_update,control_group,United Kingdom,ipad air,2
8394,2014-06-10 09:31:46,publisher_update,control_group,Thailand,hp pavilion desktop,3
203,2014-06-03 10:59:08,publisher_update,control_group,Japan,iphone 5s,1
8396,2014-06-03 18:29:28,publisher_update,test_group,Brazil,acer aspire desktop,3
8401,2014-06-10 09:31:23,publisher_update,test_group,Mexico,ipad mini,3
215,2014-06-03 09:31:18,publisher_update,test_group,United States,macbook pro,1
8413,2014-06-17 09:31:25,publisher_update,control_group,Canada,macbook air,2
226,2014-06-25 09:31:33,publisher_update,control_group,Canada,iphone 5,3
8423,2014-06-03 13:06:52,publisher_update,control_group,Japan,kindle fire,3
8427,2014-06-03 09:31:29,publisher_update,test_group,United States,macbook pro,1
8429,2014-06-03 09:31:27,publisher_update,control_group,United States,samsung galaxy s4,2
8430,2014-06-10 09:31:19,publisher_update,control_group,United States,nexus 7,3
239,2014-06-02 18:18:20,publisher_update,control_group,Japan,hp pavilion desktop,2
8438,2014-06-05 16:57:09,publisher_update,control_group,France,lenovo thinkpad,1
8449,2014-06-03 00:27:42,publisher_update,test_group,United States,samsung galaxy s4,1
260,2014-06-07 14:01:18,publisher_update,test_group,Indonesia,dell inspiron desktop,1
8453,2014-06-07 08:22:24,publisher_update,control_group,United States,nexus 5,1
8454,2014-06-04 09:31:33,publisher_update,test_group,Germany,hp pavilion desktop,1
264,2014-06-01 15:33:59,publisher_update,test_group,Japan,samsung galaxy s4,2
270,2014-06-06 14:03:00,publisher_update,control_group,France,macbook pro,1
8463,2014-06-25 09:31:09,publisher_update,control_group,France,nokia lumia 635,2
8469,2014-06-11 09:31:39,publisher_update,control_group,Switzerland,mac mini,3
8470,2014-06-18 09:31:24,publisher_update,control_group,Hong Kong,macbook air,1
8474,2014-06-04 09:31:12,publisher_update,control_group,United States,macbook pro,2
285,2014-06-02 13:04:16,publisher_update,test_group,Germany,dell inspiron desktop,1
8478,2014-06-07 11:39:38,publisher_update,test_group,Thailand,nexus 7,1
287,2014-06-03 14:12:38,publisher_update,control_group,United States,nexus 10,1
8487,2014-06-07 14:06:41,publisher_update,control_group,Egypt,macbook air,1
300,2014-06-24 09:31:28,publisher_update,control_group,Russia,lenovo thinkpad,2
8502,2014-06-05 09:31:44,publisher_update,test_group,Japan,macbook pro,1
319,2014-06-05 09:31:39,publisher_update,test_group,Spain,macbook pro,2
8514,2014-06-05 09:31:28,publisher_update,control_group,Finland,lenovo thinkpad,3
323,2014-06-12 09:31:21,publisher_update,control_group,United Kingdom,lenovo thinkpad,3
8526,2014-06-19 09:31:21,publisher_update,test_group,Italy,ipad air,3
345,2014-06-05 15:31:15,publisher_update,test_group,United States,samsung galaxy s4,3
346,2014-06-02 09:31:39,publisher_update,control_group,United States,iphone 5,3
347,2014-06-06 19:05:57,publisher_update,test_group,Germany,lenovo thinkpad,1
8550,2014-06-05 14:33:49,publisher_update,test_group,United States,ipad air,3
359,2014-06-16 09:31:21,publisher_update,control_group,Japan,macbook pro,1
8557,2014-06-13 09:31:30,publisher_update,control_group,Turkey,lenovo thinkpad,2
366,2014-06-03 18:38:45,publisher_update,test_group,Japan,lenovo thinkpad,1
372,2014-06-17 09:31:14,publisher_update,control_group,Sweden,nexus 10,1
373,2014-06-03 09:31:38,publisher_update,control_group,United States,mac mini,3
381,2014-06-17 09:31:28,publisher_update,test_group,Austria,macbook air,2
8574,2014-06-06 09:31:44,publisher_update,test_group,United Arab Emirates,samsung galaxy s4,1
12352,2014-06-02 07:10:54,publisher_update,test_group,United States,mac mini,2
388,2014-06-04 09:31:21,publisher_update,control_group,Mexico,asus chromebook,2
390,2014-06-02 13:09:35,publisher_update,control_group,Saudi Arabia,asus chromebook,1
8583,2014-06-07 15:59:19,publisher_update,test_group,Russia,macbook air,1
402,2014-06-01 08:32:25,publisher_update,control_group,Saudi Arabia,iphone 4s,2
12355,2014-06-05 16:04:00,publisher_update,test_group,Germany,hp pavilion desktop,1
